Date,Change %
"Jan 20, 2022",-0.14 %
"Jan 19, 2022",0.16 %
"Jan 18, 2022",0.09 %
"Jan 17, 2022",0.03 %
"Jan 14, 2022",0.10 %
"Jan 13, 2022",0.06 %
"Jan 12, 2022",0.02 %
"Jan 11, 2022",-0.19 %
"Jan 05, 2022",0.10 %
"Dec 31, 2021",-0.47 %
"Dec 30, 2021",0.33 %
"Dec 29, 2021",0.30 %
"Dec 28, 2021",0.12 %
"Dec 27, 2021",0.13 %
"Dec 24, 2021",-0.46 %
"Dec 23, 2021",-0.35 %
"Dec 22, 2021",-0.15 %
"Dec 21, 2021",-0.30 %
"Dec 20, 2021",0.23 %
"Dec 15, 2021",0.11 %
"Dec 14, 2021",0.25 %
"Dec 13, 2021",0.08 %
"Dec 10, 2021",-0.02 %
"Dec 09, 2021",-0.17 %
"Dec 08, 2021",-0.09 %
"Dec 07, 2021",-0.27 %
"Dec 06, 2021",-0.03 %
"Dec 03, 2021",0.11 %
"Dec 02, 2021",0.38 %
"Dec 01, 2021",-0.83 %
"Nov 30, 2021",0.55 %
"Nov 29, 2021",0.33 %
"Nov 26, 2021",0.81 %
"Nov 25, 2021",-0.09 %
"Nov 24, 2021",-0.21 %
"Nov 23, 2021",0.06 %
"Nov 22, 2021",0.08 %
"Nov 19, 2021",0.03 %
"Nov 18, 2021",0.03 %
"Nov 17, 2021",0.27 %
"Nov 16, 2021",0.26 %
"Nov 15, 2021",-0.06 %
"Nov 12, 2021",0.33 %
"Nov 11, 2021",0.15 %
"Nov 10, 2021",-0.08 %
"Nov 09, 2021",0.00 %
"Nov 08, 2021",-0.03 %
"Nov 05, 2021",0.02 %
"Nov 04, 2021",0.05 %
"Nov 03, 2021",0.25 %
"Nov 02, 2021",0.13 %
"Nov 01, 2021",0.01 %
"Oct 29, 2021",-0.02 %
"Oct 28, 2021",0.22 %
"Oct 27, 2021",0.21 %
"Oct 26, 2021",0.09 %
"Oct 25, 2021",0.06 %
"Oct 22, 2021",-0.20 %
"Oct 21, 2021",-0.11 %
"Oct 20, 2021",0.15 %
"Oct 19, 2021",0.04 %
"Oct 18, 2021",-0.06 %
"Oct 15, 2021",-0.02 %
"Oct 14, 2021",-0.01 %
"Oct 13, 2021",0.16 %
"Oct 12, 2021",0.31 %
"Oct 11, 2021",-0.29 %
"Oct 08, 2021",-0.05 %
"Oct 07, 2021",0.07 %
"Oct 06, 2021",-0.05 %
"Oct 05, 2021",-0.05 %
"Oct 04, 2021",-0.22 %
"Oct 01, 2021",0.09 %
"Sep 30, 2021",0.15 %
"Sep 29, 2021",0.16 %
"Sep 28, 2021",0.05 %
"Sep 27, 2021",-0.24 %
"Sep 24, 2021",0.05 %
"Sep 23, 2021",-0.12 %
"Sep 22, 2021",-0.16 %
"Sep 21, 2021",-0.12 %
"Sep 20, 2021",0.40 %
"Sep 17, 2021",-0.04 %
"Sep 16, 2021",-0.15 %
"Sep 15, 2021",-0.05 %
"Sep 14, 2021",-0.01 %
"Sep 13, 2021",0.01 %
"Sep 10, 2021",-0.05 %
"Sep 09, 2021",0.08 %
"Sep 08, 2021",-0.07 %
"Sep 07, 2021",0.24 %
"Sep 06, 2021",0.03 %
"Sep 03, 2021",0.05 %
"Sep 02, 2021",-0.24 %
"Sep 01, 2021",-0.03 %
"Aug 31, 2021",-0.27 %
"Aug 27, 2021",0.15 %
"Aug 26, 2021",0.15 %
"Aug 25, 2021",0.41 %
"Aug 24, 2021",-0.27 %
"Aug 23, 2021",-0.49 %
"Aug 20, 2021",0.12 %
"Aug 19, 2021",0.28 %
"Aug 18, 2021",0.16 %
"Aug 17, 2021",-0.06 %
"Aug 16, 2021",0.14 %
"Aug 13, 2021",0.00 %
"Aug 12, 2021",-0.26 %
"Aug 11, 2021",0.00 %
"Aug 10, 2021",-0.20 %
"Aug 09, 2021",0.50 %
"Aug 06, 2021",-0.21 %
"Aug 05, 2021",0.32 %
"Aug 04, 2021",-0.04 %
"Aug 03, 2021",-0.06 %
"Aug 02, 2021",-0.19 %
"Jul 30, 2021",-0.01 %
"Jul 29, 2021",-0.04 %
"Jul 28, 2021",0.07 %
"Jul 27, 2021",-0.19 %
"Jul 26, 2021",0.02 %
"Jul 23, 2021",-0.04 %
"Jul 22, 2021",-0.35 %
"Jul 21, 2021",-0.16 %
"Jul 19, 2021",0.35 %
"Jul 16, 2021",0.19 %
"Jul 15, 2021",-0.19 %
"Jul 14, 2021",-0.18 %
"Jul 13, 2021",-0.30 %
"Jul 12, 2021",0.00 %
"Jul 09, 2021",-0.49 %
"Jul 08, 2021",0.63 %
"Jul 07, 2021",0.39 %
"Jul 03, 2021",-0.01 %
"Jul 02, 2021",-0.15 %
"Jul 01, 2021",0.00 %
"Jun 30, 2021",-0.48 %
"Jun 29, 2021",0.61 %
"Jun 28, 2021",-0.05 %
"Jun 25, 2021",-0.25 %
"Jun 24, 2021",0.04 %
"Jun 23, 2021",0.09 %
"Jun 22, 2021",-0.11 %
"Jun 21, 2021",-0.01 %
"Jun 18, 2021",0.04 %
"Jun 17, 2021",0.32 %
"Jun 16, 2021",-0.14 %
"Jun 15, 2021",-0.07 %
"Jun 14, 2021",0.08 %
"Jun 11, 2021",-0.08 %
"Jun 10, 2021",0.07 %
"Jun 09, 2021",-0.09 %
"Jun 08, 2021",0.07 %
"Jun 07, 2021",-0.07 %
"Jun 04, 2021",-0.09 %
"Jun 03, 2021",-0.17 %
"Jun 02, 2021",0.18 %
"Jun 01, 2021",-0.08 %
"May 31, 2021",-0.06 %
"May 28, 2021",-0.15 %
"May 27, 2021",0.28 %
"May 26, 2021",0.01 %
"May 25, 2021",0.00 %
"May 24, 2021",-0.19 %
"May 21, 2021",-0.05 %
"May 20, 2021",0.13 %
"May 19, 2021",0.35 %
"May 18, 2021",-0.21 %
"May 17, 2021",-0.15 %
"May 14, 2021",0.00 %
"May 13, 2021",0.39 %
"May 12, 2021",-0.12 %
"May 11, 2021",0.12 %
"May 06, 2021",-0.01 %
"May 05, 2021",-0.41 %
"May 04, 2021",-0.40 %
"Apr 30, 2021",0.47 %
"Apr 29, 2021",-0.24 %
"Apr 28, 2021",-0.09 %
"Apr 27, 2021",-0.17 %
"Apr 26, 2021",-0.02 %
"Apr 23, 2021",-0.34 %
"Apr 22, 2021",-0.05 %
"Apr 21, 2021",0.35 %
"Apr 20, 2021",-0.05 %
"Apr 19, 2021",0.12 %
"Apr 16, 2021",-0.39 %
"Apr 15, 2021",0.23 %
"Apr 14, 2021",-0.67 %
"Apr 13, 2021",0.12 %
"Apr 12, 2021",0.00 %
"Apr 09, 2021",-0.09 %
"Apr 08, 2021",0.35 %
"Apr 07, 2021",0.47 %
"Apr 06, 2021",0.49 %
"Apr 05, 2021",0.23 %
"Apr 02, 2021",-0.06 %
"Apr 01, 2021",0.40 %
"Mar 31, 2021",0.15 %
"Mar 30, 2021",0.19 %
"Mar 29, 2021",-0.05 %
"Mar 26, 2021",0.04 %
"Mar 25, 2021",0.79 %
"Mar 19, 2021",0.41 %
"Mar 18, 2021",-0.05 %
"Mar 17, 2021",0.13 %
"Mar 16, 2021",-0.01 %
"Mar 15, 2021",-0.03 %
"Mar 12, 2021",-0.08 %
"Mar 11, 2021",-0.16 %
"Mar 10, 2021",0.11 %
"Mar 09, 2021",-0.07 %
"Mar 05, 2021",-0.06 %
"Mar 04, 2021",0.13 %
"Mar 03, 2021",-0.06 %
"Mar 02, 2021",0.37 %
"Mar 01, 2021",0.11 %
"Feb 26, 2021",0.66 %
"Feb 25, 2021",-0.06 %
"Feb 24, 2021",0.12 %
"Feb 23, 2021",-0.47 %
"Feb 22, 2021",-0.13 %
"Feb 19, 2021",0.23 %
"Feb 18, 2021",-0.08 %
"Feb 17, 2021",-0.02 %
"Feb 16, 2021",-0.04 %
"Feb 15, 2021",-0.48 %
"Feb 12, 2021",0.18 %
"Feb 11, 2021",0.14 %
"Feb 10, 2021",-0.19 %
"Feb 09, 2021",-0.06 %
"Feb 08, 2021",-0.40 %
"Feb 05, 2021",-0.38 %
"Feb 04, 2021",-0.32 %
"Feb 03, 2021",0.00 %
"Feb 02, 2021",-0.24 %
"Feb 01, 2021",0.12 %
"Jan 29, 2021",-0.05 %
"Jan 28, 2021",0.44 %
"Jan 27, 2021",-0.01 %
"Jan 26, 2021",0.34 %
"Jan 25, 2021",0.04 %
"Jan 22, 2021",0.43 %
"Jan 21, 2021",-0.01 %
"Jan 20, 2021",-0.23 %
"Jan 19, 2021",-0.20 %
"Jan 18, 2021",0.36 %
"Jan 15, 2021",-0.13 %
"Jan 14, 2021",0.18 %
"Jan 13, 2021",-0.20 %
"Jan 12, 2021",0.04 %
"Jan 11, 2021",0.13 %
"Jan 08, 2021",0.01 %
"Jan 06, 2021",-0.56 %
"Jan 05, 2021",0.03 %
"Jan 04, 2021",-0.54 %
"Jan 01, 2021",0.50 %
"Dec 31, 2020",0.02 %
"Dec 30, 2020",0.17 %
"Dec 29, 2020",0.19 %
"Dec 28, 2020",0.10 %
"Dec 25, 2020",-0.18 %
"Dec 24, 2020",-0.25 %
"Dec 23, 2020",0.20 %
"Dec 22, 2020",-0.17 %
"Dec 21, 2020",0.37 %
"Dec 15, 2020",0.17 %
"Dec 14, 2020",-0.05 %
"Dec 11, 2020",-0.27 %
"Dec 10, 2020",0.01 %
"Dec 09, 2020",-0.01 %
"Dec 08, 2020",-0.31 %
"Dec 07, 2020",0.25 %
"Dec 04, 2020",-0.71 %
"Dec 03, 2020",-0.31 %
"Dec 02, 2020",-0.18 %
"Nov 30, 2020",0.27 %
"Nov 27, 2020",0.26 %
"Nov 26, 2020",-0.04 %
"Nov 25, 2020",-0.47 %
"Nov 24, 2020",-0.02 %
"Nov 23, 2020",-0.53 %
"Nov 20, 2020",-0.19 %
"Nov 19, 2020",0.21 %
"Nov 18, 2020",-0.29 %
"Nov 17, 2020",-0.13 %
"Nov 16, 2020",-0.09 %
"Nov 13, 2020",0.26 %
"Nov 12, 2020",0.40 %
"Nov 11, 2020",-0.38 %
"Nov 10, 2020",-0.55 %
"Nov 09, 2020",-0.29 %
"Nov 06, 2020",0.09 %
"Nov 05, 2020",-0.07 %
"Nov 04, 2020",-0.24 %
"Nov 03, 2020",-0.46 %
"Nov 02, 2020",0.58 %
"Oct 30, 2020",-0.03 %
"Oct 29, 2020",0.34 %
"Oct 28, 2020",0.49 %
"Oct 27, 2020",-0.05 %
"Oct 26, 2020",0.43 %
"Oct 23, 2020",-0.13 %
"Oct 22, 2020",0.12 %
"Oct 21, 2020",-0.15 %
"Oct 20, 2020",0.11 %
"Oct 19, 2020",-0.31 %
"Oct 16, 2020",0.06 %
"Oct 15, 2020",0.00 %
"Oct 14, 2020",0.07 %
"Oct 13, 2020",0.23 %
"Oct 12, 2020",0.14 %
"Oct 09, 2020",-0.21 %
"Oct 08, 2020",-0.28 %
"Oct 07, 2020",-0.05 %
"Oct 06, 2020",-0.50 %
"Oct 05, 2020",-0.35 %
"Oct 02, 2020",0.88 %
"Oct 01, 2020",-0.76 %
"Sep 30, 2020",0.63 %
"Sep 29, 2020",-0.12 %
"Sep 28, 2020",0.71 %
"Sep 25, 2020",0.20 %
"Sep 24, 2020",0.18 %
"Sep 23, 2020",0.48 %
"Sep 22, 2020",0.26 %
"Sep 21, 2020",0.21 %
"Sep 18, 2020",-0.52 %
"Sep 17, 2020",-0.12 %
"Sep 16, 2020",-0.52 %
"Sep 15, 2020",-0.08 %
"Sep 14, 2020",0.04 %
"Sep 11, 2020",0.14 %
"Sep 10, 2020",-0.23 %
"Sep 09, 2020",0.62 %
"Sep 08, 2020",0.18 %
"Sep 07, 2020",0.74 %
"Sep 04, 2020",0.00 %
"Sep 03, 2020",0.44 %
"Sep 02, 2020",0.16 %
"Sep 01, 2020",-0.43 %
"Aug 28, 2020",0.12 %
"Aug 27, 2020",-0.18 %
"Aug 26, 2020",0.30 %
"Aug 25, 2020",-0.12 %
"Aug 24, 2020",-0.04 %
"Aug 21, 2020",0.08 %
"Aug 20, 2020",0.19 %
"Aug 19, 2020",0.01 %
"Aug 18, 2020",-0.08 %
"Aug 17, 2020",-0.15 %
"Aug 14, 2020",0.10 %
"Aug 13, 2020",-0.01 %
"Aug 12, 2020",0.23 %
"Aug 11, 2020",-0.26 %
"Aug 10, 2020",-0.07 %
"Aug 07, 2020",0.19 %
"Aug 06, 2020",0.07 %
"Aug 05, 2020",-0.66 %
"Aug 04, 2020",-0.24 %
"Aug 03, 2020",0.21 %
"Jul 30, 2020",0.90 %
"Jul 29, 2020",0.59 %
"Jul 28, 2020",0.14 %
"Jul 27, 2020",0.13 %
"Jul 24, 2020",0.13 %
"Jul 23, 2020",0.11 %
"Jul 22, 2020",-0.05 %
"Jul 21, 2020",-0.37 %
"Jul 20, 2020",0.23 %
"Jul 17, 2020",0.16 %
"Jul 16, 2020",0.11 %
"Jul 15, 2020",-0.02 %
"Jul 14, 2020",0.19 %
"Jul 13, 2020",-0.33 %
"Jul 10, 2020",0.53 %
"Jul 09, 2020",0.23 %
"Jul 08, 2020",0.10 %
"Jul 07, 2020",0.74 %
"Jul 03, 2020",0.10 %
"Jul 02, 2020",0.00 %
"Jul 01, 2020",0.17 %
"Jun 30, 2020",0.32 %
"Jun 29, 2020",0.55 %
"Jun 26, 2020",-0.47 %
"Jun 25, 2020",0.60 %
"Jun 24, 2020",0.17 %
"Jun 23, 2020",-0.22 %
"Jun 22, 2020",-0.28 %
"Jun 19, 2020",-0.44 %
"Jun 18, 2020",0.04 %
"Jun 17, 2020",0.16 %
"Jun 16, 2020",-0.52 %
"Jun 15, 2020",0.52 %
"Jun 12, 2020",0.96 %
"Jun 11, 2020",-0.14 %
"Jun 10, 2020",0.02 %
"Jun 09, 2020",0.88 %
"Jun 08, 2020",-0.58 %
"Jun 05, 2020",-0.40 %
"Jun 04, 2020",0.04 %
"Jun 03, 2020",-0.16 %
"Jun 02, 2020",-1.47 %
"Jun 01, 2020",-1.02 %
"May 29, 2020",-0.19 %
"May 28, 2020",0.02 %
"May 27, 2020",0.02 %
"May 26, 2020",-0.48 %
"May 25, 2020",-0.13 %
"May 22, 2020",0.58 %
"May 21, 2020",-0.45 %
"May 20, 2020",0.00 %
"May 19, 2020",-0.54 %
"May 18, 2020",-0.88 %
"May 15, 2020",-0.69 %
"May 14, 2020",0.38 %
"May 13, 2020",0.29 %
"May 12, 2020",0.00 %
"May 11, 2020",-0.27 %
"May 06, 2020",-0.48 %
"May 05, 2020",-0.82 %
"May 04, 2020",0.35 %
"Apr 30, 2020",-0.82 %
"Apr 29, 2020",-0.41 %
"Apr 28, 2020",0.06 %
"Apr 27, 2020",-0.12 %
"Apr 24, 2020",-0.12 %
"Apr 23, 2020",-1.26 %
"Apr 22, 2020",0.46 %
"Apr 21, 2020",1.75 %
"Apr 20, 2020",0.33 %
"Apr 17, 2020",-0.33 %
"Apr 16, 2020",0.35 %
"Apr 15, 2020",0.16 %
"Apr 14, 2020",-0.36 %
"Apr 13, 2020",-0.67 %
"Apr 10, 2020",-0.07 %
"Apr 09, 2020",-1.26 %
"Apr 08, 2020",-0.21 %
"Apr 07, 2020",-0.48 %
"Apr 06, 2020",-1.24 %
"Apr 03, 2020",-0.70 %
"Apr 02, 2020",-0.31 %
"Apr 01, 2020",0.12 %
"Mar 31, 2020",0.11 %
"Mar 30, 2020",0.48 %
"Mar 27, 2020",0.16 %
"Mar 26, 2020",-0.40 %
"Mar 20, 2020",-1.98 %
"Mar 19, 2020",3.06 %
"Mar 18, 2020",1.49 %
"Mar 17, 2020",0.35 %
"Mar 16, 2020",6.97 %
"Mar 13, 2020",1.42 %
"Mar 12, 2020",1.14 %
"Mar 11, 2020",0.13 %
"Mar 10, 2020",2.36 %
"Mar 09, 2020",0.76 %
"Mar 06, 2020",0.55 %
"Mar 05, 2020",0.32 %
"Mar 04, 2020",0.08 %
"Mar 03, 2020",-0.56 %
"Mar 02, 2020",-0.09 %
"Feb 28, 2020",0.55 %
"Feb 27, 2020",0.32 %
"Feb 26, 2020",0.28 %
"Feb 25, 2020",0.31 %
"Feb 24, 2020",-0.03 %
"Feb 21, 2020",0.17 %
"Feb 20, 2020",-0.21 %
"Feb 19, 2020",-0.21 %
"Feb 18, 2020",0.17 %
"Feb 17, 2020",0.08 %
"Feb 14, 2020",-0.11 %
"Feb 13, 2020",0.09 %
"Feb 12, 2020",-0.06 %
"Feb 11, 2020",-0.46 %
"Feb 10, 2020",-0.05 %
"Feb 07, 2020",0.24 %
"Feb 06, 2020",-0.13 %
"Feb 05, 2020",-0.32 %
"Feb 04, 2020",-0.34 %
"Feb 03, 2020",0.37 %
"Jan 31, 2020",0.04 %
"Jan 30, 2020",0.20 %
"Jan 29, 2020",-0.56 %
"Jan 28, 2020",-0.07 %
"Jan 27, 2020",0.66 %
"Jan 24, 2020",0.12 %
"Jan 23, 2020",0.17 %
"Jan 22, 2020",0.05 %
"Jan 21, 2020",0.19 %
"Jan 20, 2020",-0.03 %
"Jan 17, 2020",-0.24 %
"Jan 16, 2020",-0.45 %
"Jan 15, 2020",-0.13 %
"Jan 14, 2020",0.33 %
"Jan 13, 2020",0.16 %
"Jan 10, 2020",0.35 %
"Jan 09, 2020",-0.44 %
"Jan 08, 2020",-0.70 %
"Jan 07, 2020",0.02 %
"Jan 06, 2020",-0.57 %
"Jan 03, 2020",0.00 %
"Jan 02, 2020",0.00 %
"Jan 01, 2020",0.02 %